# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	9640
#@/user_id	71976ba1-830a-45d3-bed3-0cdf4d8efa78
feng bao 	風暴	c=3 d=1.00504 t=4595
feng ge 	風格	c=1 d=1 t=3973
feng xian 	風險	c=3 d=1.07502 t=7974
feng zi 	瘋子	c=7 d=1.00003 t=9355
fo 	佛	c=1 d=1 t=5557
fou 	否	c=1 d=1 t=9012
fu 	夫	c=5 d=1.04951 t=7080
fu 	府	c=5 d=2.89046 t=4801
fu 	弗	c=6 d=1.79128 t=5237
fu 	復	c=1 d=1 t=8971
fu 	服	c=1 d=1 t=6362
fu 	福	c=6 d=1 t=8434
fu chou 	復仇	c=1 d=1 t=3662
fu fei 	付費	c=1 d=1 t=6272
fu hao 	符號	c=2 d=1.98511 t=9604
fu ji 	伏擊	c=1 d=1 t=7492
fu jian 	附件	c=1 d=1 t=5829
fu jin 	附近	c=1 d=1 t=3058
fu kuan 	付款	c=4 d=1.01963 t=9408
fu mu 	父母	c=1 d=1 t=7335
fu nv 	婦女	c=1 d=1 t=5929
fu qin 	父親	c=2 d=1 t=7541
fu qing 	付清	c=1 d=1 t=5735
fu ren 	夫人	c=1 d=1 t=4810
fu wu 	服務	c=5 d=1.68261 t=6269
fu ze 	負責	c=7 d=1.97093 t=8610
gai 	蓋	c=1 d=1 t=6342
gai 	該	c=1 d=1 t=2440
gai cheng 	改成	c=1 d=1 t=3094
gan 	幹	c=1 d=1 t=669
gan jue 	感覺	c=4 d=3.20166 t=8001
gan ma 	幹嘛	c=1 d=1 t=9430
gan xie 	感謝	c=1 d=1 t=184
gang 	剛	c=4 d=1 t=8330
gang gang 	剛剛	c=1 d=1 t=8327
gao 	搞	c=1 d=1 t=4409
gao 	高	c=6 d=1.13208 t=7803
gao cuo 	搞錯	c=2 d=1.96561 t=4394
gao da 	搞大	c=2 d=1.43605 t=8129
gao qing 	高清	c=1 d=1 t=4447
gao qing chu 	搞清楚	c=1 d=1 t=2053
gao su 	告訴	c=2 d=1.04076 t=1131
gao yu 	高於	c=1 d=1 t=952
gao zhi 	告知	c=1 d=1 t=3619
ge 	個	c=8 d=1.01508 t=8766
ge 	格	c=3 d=2.86993 t=9386
ge 	歌	c=2 d=1 t=3904
ge ge 	各個	c=1 d=1 t=4985
ge hui 	各回	c=1 d=1 t=8119
ge jia 	各家	c=1 d=1 t=8120
ge ju 	格局	c=1 d=1 t=9458
ge ren 	個人	c=5 d=1 t=5818
ge ren ka 	個人卡	c=1 d=1 t=3405
ge shi 	格式	c=1 d=1 t=5841
ge shou 	歌手	c=1 d=1 t=5840
ge zhong 	各種	c=4 d=1 t=8510
gei 	給	c=35 d=1.39441 t=9521
gei le 	給了	c=1 d=1 t=2661
gei qian 	給錢	c=1 d=1 t=2458
gei wo 	給我	c=0 d=0.1 t=1931
gen jin 	跟進	c=1 d=1 t=8611
gen ju 	根據	c=2 d=1 t=8537
gen shang 	跟上	c=1 d=1 t=2405
gen zong 	跟蹤	c=1 d=1 t=181
geng 	更	c=5 d=1.97697 t=8378
geng da 	更大	c=1 d=1 t=9366
geng gui 	更貴	c=1 d=1 t=8382
geng hao 	更好	c=2 d=1 t=5417
geng huan 	更換	c=1 d=1 t=3589
geng shao 	更少	c=1 d=1 t=954
geng xin 	更新	c=1 d=1 t=1740
geng you 	更有	c=1 d=1 t=7203
gong 	公	c=2 d=1 t=9380
gong 	共	c=5 d=1.03835 t=7069
gong 	功	c=1 d=1 t=4296
gong 	躬	c=1 d=1 t=2235
gong fu 	功夫	c=1 d=1 t=7152
gong neng 	功能	c=1 d=1 t=6863
gong ren 	工人	c=2 d=1 t=7737
gong si 	公司	c=52 d=2.98052 t=9072
gong yang 	公羊	c=1 d=1 t=4384
gong yang zhuan 	公羊傳	c=2 d=1.98511 t=4381
gong ying shang 	供應商	c=2 d=1.9802 t=6892
gong zi 	公子	c=1 d=1 t=6225
gong zi 	工資	c=4 d=1 t=8162
gong zuo 	工作	c=9 d=2.56283 t=6835
gou 	垢	c=1 d=1 t=341
gou 	夠	c=1 d=1 t=887
gou 	狗	c=2 d=1 t=8943
gou fei 	苟非	c=1 d=1 t=7086
gou mai 	購買	c=4 d=1.85694 t=2762
gou ri 	狗日	c=1 d=1 t=1592
gou tong 	溝通	c=4 d=1.03288 t=8315
gu 	故	c=5 d=0.605598 t=6664
gu 	股	c=1 d=1 t=8043
gu dai 	古代	c=1 d=1 t=8676
gu dong 	股東	c=2 d=1.92312 t=3339
gu fen 	股份	c=1 d=1 t=5914
gu fen zhi 	股份制	c=1 d=1 t=3302
gu hua 	古話	c=1 d=1 t=8655
gu ji 	估計	c=2 d=1 t=6946
gu quan 	股權	c=1 d=1 t=6914
gu wen 	古文	c=1 d=1 t=4323
gu yi 	故意	c=1 d=1 t=1648
gu yong 	僱佣	c=1 d=1 t=6867
guan 	冠	c=1 d=1 t=8677
guan 	關	c=1 d=1 t=4429
guan cha zhe 	觀察者	c=2 d=1.07465 t=1185
guan jian 	關鍵	c=1 d=1 t=4916
guan kan 	觀看	c=8 d=1 t=9392
